timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-11-22,574.70000000,575.40000000,566.40000000,568.50000000,574.70000000,575.40000000,566.40000000,568.50000000,3617.78900000,3617.78900000
2021-11-21,584.50000000,585.40000000,568.70000000,574.40000000,584.50000000,585.40000000,568.70000000,574.40000000,43043.00100000,43043.00100000
2021-11-20,574.30000000,588.30000000,564.60000000,584.50000000,574.30000000,588.30000000,564.60000000,584.50000000,55870.12100000,55870.12100000
2021-11-19,554.40000000,577.00000000,548.10000000,574.30000000,554.40000000,577.00000000,548.10000000,574.30000000,70640.87000000,70640.87000000
2021-11-18,595.10000000,601.90000000,542.50000000,554.40000000,595.10000000,601.90000000,542.50000000,554.40000000,112696.84000000,112696.84000000
2021-11-17,598.00000000,603.70000000,577.40000000,595.00000000,598.00000000,603.70000000,577.40000000,595.00000000,95949.71200000,95949.71200000
2021-11-16,665.60000000,665.70000000,571.00000000,597.80000000,665.60000000,665.70000000,571.00000000,597.80000000,184354.63200000,184354.63200000
2021-11-15,679.60000000,686.30000000,664.30000000,665.60000000,679.60000000,686.30000000,664.30000000,665.60000000,72500.05600000,72500.05600000
2021-11-14,665.70000000,679.60000000,657.30000000,679.50000000,665.70000000,679.60000000,657.30000000,679.50000000,65643.81500000,65643.81500000
2021-11-13,668.20000000,670.80000000,655.40000000,665.60000000,668.20000000,670.80000000,655.40000000,665.60000000,59366.55800000,59366.55800000
2021-11-12,675.80000000,684.50000000,646.70000000,668.10000000,675.80000000,684.50000000,646.70000000,668.10000000,107119.81900000,107119.81900000
2021-11-11,662.70000000,680.80000000,658.40000000,675.80000000,662.70000000,680.80000000,658.40000000,675.80000000,93440.46900000,93440.46900000
2021-11-10,717.40000000,729.30000000,643.90000000,662.90000000,717.40000000,729.30000000,643.90000000,662.90000000,290490.42600000,290490.42600000
2021-11-09,638.40000000,731.40000000,636.50000000,717.50000000,638.40000000,731.40000000,636.50000000,717.50000000,337609.00800000,337609.00800000
2021-11-08,600.40000000,643.00000000,598.70000000,638.40000000,600.40000000,643.00000000,598.70000000,638.40000000,131609.54900000,131609.54900000
2021-11-07,587.40000000,600.50000000,585.80000000,600.40000000,587.40000000,600.50000000,585.80000000,600.40000000,37065.57000000,37065.57000000
2021-11-06,597.60000000,602.40000000,576.20000000,587.40000000,597.60000000,602.40000000,576.20000000,587.40000000,51914.27600000,51914.27600000
2021-11-05,595.40000000,632.80000000,591.60000000,597.70000000,595.40000000,632.80000000,591.60000000,597.70000000,163703.64100000,163703.64100000
2021-11-04,611.20000000,613.20000000,586.20000000,595.60000000,611.20000000,613.20000000,586.20000000,595.60000000,64670.83600000,64670.83600000
2021-11-03,598.50000000,620.00000000,588.80000000,611.00000000,598.50000000,620.00000000,588.80000000,611.00000000,117461.92600000,117461.92600000
2021-11-02,587.00000000,608.60000000,582.10000000,598.40000000,587.00000000,608.60000000,582.10000000,598.40000000,64432.65200000,64432.65200000
2021-11-01,596.90000000,599.60000000,578.50000000,586.90000000,596.90000000,599.60000000,578.50000000,586.90000000,62284.44900000,62284.44900000
2021-10-31,585.30000000,604.90000000,573.90000000,596.90000000,585.30000000,604.90000000,573.90000000,596.90000000,84296.58700000,84296.58700000
2021-10-30,594.90000000,601.10000000,576.00000000,585.30000000,594.90000000,601.10000000,576.00000000,585.30000000,49042.95200000,49042.95200000
2021-10-29,578.70000000,596.60000000,574.20000000,594.80000000,578.70000000,596.60000000,574.20000000,594.80000000,57143.76100000,57143.76100000
2021-10-28,548.40000000,599.00000000,543.80000000,578.70000000,548.40000000,599.00000000,543.80000000,578.70000000,133464.87700000,133464.87700000
2021-10-27,612.00000000,619.20000000,531.20000000,548.40000000,612.00000000,619.20000000,531.20000000,548.40000000,137606.38700000,137606.38700000
2021-10-26,621.30000000,632.20000000,600.00000000,611.90000000,621.30000000,632.20000000,600.00000000,611.90000000,68384.25100000,68384.25100000
2021-10-25,617.20000000,628.50000000,614.80000000,621.30000000,617.20000000,628.50000000,614.80000000,621.30000000,58271.08200000,58271.08200000
2021-10-24,629.00000000,633.10000000,605.60000000,617.20000000,629.00000000,633.10000000,605.60000000,617.20000000,66362.21200000,66362.21200000
2021-10-23,623.80000000,637.60000000,614.80000000,629.10000000,623.80000000,637.60000000,614.80000000,629.10000000,50173.93900000,50173.93900000
2021-10-22,623.30000000,637.00000000,612.50000000,623.90000000,623.30000000,637.00000000,612.50000000,623.90000000,66136.18700000,66136.18700000
2021-10-21,644.60000000,655.90000000,621.10000000,623.40000000,644.60000000,655.90000000,621.10000000,623.40000000,116045.59500000,116045.59500000
2021-10-20,618.50000000,648.90000000,605.10000000,644.70000000,618.50000000,648.90000000,605.10000000,644.70000000,93634.90100000,93634.90100000
2021-10-19,611.30000000,625.00000000,599.40000000,618.50000000,611.30000000,625.00000000,599.40000000,618.50000000,71717.37800000,71717.37800000
2021-10-18,612.60000000,619.30000000,598.30000000,611.50000000,612.60000000,619.30000000,598.30000000,611.50000000,70874.91000000,70874.91000000
2021-10-17,625.60000000,628.70000000,589.70000000,612.50000000,625.60000000,628.70000000,589.70000000,612.50000000,84225.55700000,84225.55700000
2021-10-16,625.40000000,649.40000000,623.60000000,625.40000000,625.40000000,649.40000000,623.60000000,625.40000000,100802.45600000,100802.45600000
2021-10-15,599.10000000,637.20000000,585.60000000,625.70000000,599.10000000,637.20000000,585.60000000,625.70000000,169544.92600000,169544.92600000
2021-10-14,593.70000000,607.70000000,590.30000000,599.10000000,593.70000000,607.70000000,590.30000000,599.10000000,75123.44700000,75123.44700000
2021-10-13,587.90000000,594.90000000,571.40000000,593.70000000,587.90000000,594.90000000,571.40000000,593.70000000,91096.30600000,91096.30600000
2021-10-12,601.10000000,601.30000000,567.70000000,587.90000000,601.10000000,601.30000000,567.70000000,587.90000000,98138.06200000,98138.06200000
2021-10-11,584.50000000,618.50000000,576.70000000,601.30000000,584.50000000,618.50000000,576.70000000,601.30000000,102504.50200000,102504.50200000
2021-10-10,615.20000000,623.20000000,582.10000000,584.70000000,615.20000000,623.20000000,582.10000000,584.70000000,85734.07800000,85734.07800000
2021-10-09,596.30000000,624.50000000,591.30000000,615.20000000,596.30000000,624.50000000,591.30000000,615.20000000,82548.97800000,82548.97800000
2021-10-08,611.50000000,617.80000000,587.50000000,596.20000000,611.50000000,617.80000000,587.50000000,596.20000000,115217.98200000,115217.98200000
2021-10-07,617.20000000,636.70000000,597.60000000,611.30000000,617.20000000,636.70000000,597.60000000,611.30000000,159699.31000000,159699.31000000
2021-10-06,594.70000000,626.50000000,562.10000000,617.10000000,594.70000000,626.50000000,562.10000000,617.10000000,194811.31400000,194811.31400000
2021-10-05,550.80000000,600.30000000,548.80000000,594.50000000,550.80000000,600.30000000,548.80000000,594.50000000,101027.90100000,101027.90100000
2021-10-04,571.10000000,571.20000000,530.20000000,550.70000000,571.10000000,571.20000000,530.20000000,550.70000000,104364.04600000,104364.04600000
2021-10-03,552.00000000,579.10000000,544.50000000,571.00000000,552.00000000,579.10000000,544.50000000,571.00000000,73818.85000000,73818.85000000
2021-10-02,543.70000000,559.90000000,536.40000000,552.10000000,543.70000000,559.90000000,536.40000000,552.10000000,67360.38500000,67360.38500000
2021-10-01,502.80000000,544.70000000,500.30000000,543.70000000,502.80000000,544.70000000,500.30000000,543.70000000,102037.20400000,102037.20400000
2021-09-30,484.90000000,506.10000000,481.90000000,502.60000000,484.90000000,506.10000000,481.90000000,502.60000000,73302.83400000,73302.83400000
2021-09-29,474.00000000,498.20000000,471.30000000,484.90000000,474.00000000,498.20000000,471.30000000,484.90000000,81899.35354000,81899.35354000
2021-09-28,488.10000000,499.30000000,472.20000000,474.20000000,488.10000000,499.30000000,472.20000000,474.20000000,104265.50880000,104265.50880000
2021-09-27,503.10000000,515.20000000,487.60000000,488.00000000,503.10000000,515.20000000,487.60000000,488.00000000,106024.08800000,106024.08800000
2021-09-26,516.90000000,519.90000000,480.20000000,503.20000000,516.90000000,519.90000000,480.20000000,503.20000000,161614.93900000,161614.93900000
2021-09-25,513.20000000,523.30000000,501.70000000,516.80000000,513.20000000,523.30000000,501.70000000,516.80000000,99450.21700000,99450.21700000
2021-09-24,552.60000000,556.80000000,478.90000000,513.50000000,552.60000000,556.80000000,478.90000000,513.50000000,164421.03637000,164421.03637000
2021-09-23,547.60000000,553.80000000,532.30000000,552.70000000,547.60000000,553.80000000,532.30000000,552.70000000,75540.42100000,75540.42100000
2021-09-22,505.10000000,548.10000000,496.20000000,547.70000000,505.10000000,548.10000000,496.20000000,547.70000000,111368.65700000,111368.65700000
2021-09-21,542.60000000,552.40000000,496.60000000,505.40000000,542.60000000,552.40000000,496.60000000,505.40000000,189039.77906000,189039.77906000
2021-09-20,608.80000000,609.30000000,530.10000000,542.70000000,608.80000000,609.30000000,530.10000000,542.70000000,179788.74081000,179788.74081000
2021-09-19,630.60000000,647.50000000,601.70000000,608.70000000,630.60000000,647.50000000,601.70000000,608.70000000,80578.29000000,80578.29000000
