timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-11-17,0.00004831,0.00004912,0.00004811,0.00004864,0.00004831,0.00004912,0.00004811,0.00004864,632155051499.00000000,632155051499.00000000
2021-11-16,0.00005343,0.00005354,0.00004510,0.00004831,0.00005343,0.00005354,0.00004510,0.00004831,21365363650600.00000000,21365363650600.00000000
2021-11-15,0.00005314,0.00005599,0.00005228,0.00005343,0.00005314,0.00005599,0.00005228,0.00005343,12771755191144.00000000,12771755191144.00000000
2021-11-14,0.00005168,0.00005640,0.00005153,0.00005314,0.00005168,0.00005640,0.00005153,0.00005314,12715968872848.00000000,12715968872848.00000000
2021-11-13,0.00005235,0.00005280,0.00005055,0.00005168,0.00005235,0.00005280,0.00005055,0.00005168,8134280391784.00000000,8134280391784.00000000
2021-11-12,0.00005654,0.00005698,0.00005133,0.00005235,0.00005654,0.00005698,0.00005133,0.00005235,14700043529290.00000000,14700043529290.00000000
2021-11-11,0.00005026,0.00005798,0.00004833,0.00005654,0.00005026,0.00005798,0.00004833,0.00005654,28850178484019.00000000,28850178484019.00000000
2021-11-10,0.00005485,0.00005525,0.00004600,0.00005027,0.00005485,0.00005525,0.00004600,0.00005027,23066467501868.00000000,23066467501868.00000000
2021-11-09,0.00005516,0.00005850,0.00005330,0.00005484,0.00005516,0.00005850,0.00005330,0.00005484,15798759852983.00000000,15798759852983.00000000
2021-11-08,0.00005690,0.00005900,0.00005272,0.00005517,0.00005690,0.00005900,0.00005272,0.00005517,24005429554564.00000000,24005429554564.00000000
2021-11-07,0.00005861,0.00005968,0.00005584,0.00005690,0.00005861,0.00005968,0.00005584,0.00005690,16270271381514.00000000,16270271381514.00000000
2021-11-06,0.00006257,0.00006314,0.00005490,0.00005862,0.00006257,0.00006314,0.00005490,0.00005862,34371921859656.00000000,34371921859656.00000000
2021-11-05,0.00004938,0.00006547,0.00004541,0.00006256,0.00004938,0.00006547,0.00004541,0.00006256,64343495731005.00000000,64343495731005.00000000
2021-11-04,0.00005546,0.00006097,0.00004312,0.00004937,0.00005546,0.00006097,0.00004312,0.00004937,69434105433938.00000000,69434105433938.00000000
2021-11-03,0.00006919,0.00006922,0.00005286,0.00005547,0.00006919,0.00006922,0.00005286,0.00005547,28257239394032.00000000,28257239394032.00000000
2021-11-02,0.00007150,0.00007296,0.00006650,0.00006918,0.00007150,0.00007296,0.00006650,0.00006918,18612476991846.00000000,18612476991846.00000000
2021-11-01,0.00006697,0.00007494,0.00006570,0.00007150,0.00006697,0.00007494,0.00006570,0.00007150,29336188952630.00000000,29336188952630.00000000
2021-10-31,0.00006531,0.00006959,0.00005808,0.00006697,0.00006531,0.00006959,0.00005808,0.00006697,31386990549782.00000000,31386990549782.00000000
2021-10-30,0.00007489,0.00007800,0.00006150,0.00006532,0.00007489,0.00007800,0.00006150,0.00006532,32594253338226.00000000,32594253338226.00000000
2021-10-29,0.00006886,0.00007747,0.00006100,0.00007490,0.00006886,0.00007747,0.00006100,0.00007490,57543502861683.00000000,57543502861683.00000000
2021-10-28,0.00007906,0.00008854,0.00005700,0.00006887,0.00007906,0.00008854,0.00005700,0.00006887,137183379558887.00000000,137183379558887.00000000
2021-10-27,0.00004797,0.00008800,0.00004650,0.00007906,0.00004797,0.00008800,0.00004650,0.00007906,159140214097788.00000000,159140214097788.00000000
2021-10-26,0.00004229,0.00004960,0.00004044,0.00004796,0.00004229,0.00004960,0.00004044,0.00004796,65185354432996.00000000,65185354432996.00000000
2021-10-25,0.00003605,0.00004365,0.00003493,0.00004230,0.00003605,0.00004365,0.00003493,0.00004230,55683030231723.00000000,55683030231723.00000000
2021-10-24,0.00003384,0.00004465,0.00003286,0.00003605,0.00003384,0.00004465,0.00003286,0.00003605,122382291462285.00000000,122382291462285.00000000
2021-10-23,0.00002794,0.00003460,0.00002759,0.00003384,0.00002794,0.00003460,0.00002759,0.00003384,41345879310820.00000000,41345879310820.00000000
2021-10-22,0.00002747,0.00002850,0.00002702,0.00002794,0.00002747,0.00002850,0.00002702,0.00002794,10640093014043.00000000,10640093014043.00000000
2021-10-21,0.00002923,0.00002924,0.00002700,0.00002748,0.00002923,0.00002924,0.00002700,0.00002748,13483291830586.00000000,13483291830586.00000000
2021-10-20,0.00002803,0.00002960,0.00002716,0.00002922,0.00002803,0.00002960,0.00002716,0.00002922,14694030377294.00000000,14694030377294.00000000
2021-10-19,0.00002864,0.00002919,0.00002753,0.00002802,0.00002864,0.00002919,0.00002753,0.00002802,15274666838352.00000000,15274666838352.00000000
2021-10-18,0.00002775,0.00002963,0.00002638,0.00002863,0.00002775,0.00002963,0.00002638,0.00002863,40183178302256.00000000,40183178302256.00000000
2021-10-17,0.00002570,0.00002900,0.00002370,0.00002774,0.00002570,0.00002900,0.00002370,0.00002774,21922530954957.00000000,21922530954957.00000000
2021-10-16,0.00002525,0.00002660,0.00002470,0.00002571,0.00002525,0.00002660,0.00002470,0.00002571,18385780924499.00000000,18385780924499.00000000
2021-10-15,0.00002742,0.00002757,0.00002333,0.00002525,0.00002742,0.00002757,0.00002333,0.00002525,44396951959423.00000000,44396951959423.00000000
2021-10-14,0.00002907,0.00002985,0.00002600,0.00002743,0.00002907,0.00002985,0.00002600,0.00002743,26305044296516.00000000,26305044296516.00000000
2021-10-13,0.00002903,0.00003073,0.00002757,0.00002907,0.00002903,0.00003073,0.00002757,0.00002907,27877783172087.00000000,27877783172087.00000000
2021-10-12,0.00003065,0.00003160,0.00002732,0.00002904,0.00003065,0.00003160,0.00002732,0.00002904,48794059445218.00000000,48794059445218.00000000
2021-10-11,0.00002613,0.00003200,0.00002580,0.00003065,0.00002613,0.00003200,0.00002580,0.00003065,72557577941657.00000000,72557577941657.00000000
2021-10-10,0.00002669,0.00002787,0.00002506,0.00002613,0.00002669,0.00002787,0.00002506,0.00002613,36095792941358.00000000,36095792941358.00000000
