timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-11-21,0.13953000,0.13974000,0.13760000,0.13770000,0.13953000,0.13974000,0.13760000,0.13770000,17282553.10000000,17282553.10000000
2021-11-20,0.13933000,0.14169000,0.13252000,0.13952000,0.13933000,0.14169000,0.13252000,0.13952000,839556940.89999998,839556940.89999998
2021-11-19,0.12876000,0.14175000,0.12537000,0.13927000,0.12876000,0.14175000,0.12537000,0.13927000,1120012247.20000005,1120012247.20000005
2021-11-18,0.14509000,0.14711000,0.12300000,0.12889000,0.14509000,0.14711000,0.12300000,0.12889000,1696526974.40000010,1696526974.40000010
2021-11-17,0.14419000,0.14793000,0.13660000,0.14514000,0.14419000,0.14793000,0.13660000,0.14514000,1433775017.50000000,1433775017.50000000
2021-11-16,0.16292000,0.16296000,0.13500000,0.14428000,0.16292000,0.16296000,0.13500000,0.14428000,2099202292.09999990,2099202292.09999990
2021-11-15,0.16175000,0.17749000,0.16160000,0.16292000,0.16175000,0.17749000,0.16160000,0.16292000,1402778438.79999995,1402778438.79999995
2021-11-14,0.16038000,0.16345000,0.15366000,0.16169000,0.16038000,0.16345000,0.15366000,0.16169000,575148381.79999995,575148381.79999995
2021-11-13,0.15866000,0.16500000,0.15488000,0.16039000,0.15866000,0.16500000,0.15488000,0.16039000,662202272.79999995,662202272.79999995
2021-11-12,0.16515000,0.16564000,0.15118000,0.15866000,0.16515000,0.16564000,0.15118000,0.15866000,890280029.60000002,890280029.60000002
2021-11-11,0.16254000,0.16942000,0.15843000,0.16513000,0.16254000,0.16942000,0.15843000,0.16513000,906307830.89999998,906307830.89999998
2021-11-10,0.17094000,0.18276000,0.14817000,0.16257000,0.17094000,0.18276000,0.14817000,0.16257000,1852610223.90000010,1852610223.90000010
2021-11-09,0.17605000,0.18755000,0.17011000,0.17095000,0.17605000,0.18755000,0.17011000,0.17095000,2082374885.50000000,2082374885.50000000
2021-11-08,0.15502000,0.17606000,0.15117000,0.17603000,0.15502000,0.17606000,0.15117000,0.17603000,1678982932.09999990,1678982932.09999990
2021-11-07,0.16056000,0.16209000,0.15414000,0.15506000,0.16056000,0.16209000,0.15414000,0.15506000,665628121.79999995,665628121.79999995
2021-11-06,0.15811000,0.16400000,0.14917000,0.16057000,0.15811000,0.16400000,0.14917000,0.16057000,1252365731.20000005,1252365731.20000005
2021-11-05,0.15266000,0.16438000,0.14521000,0.15810000,0.15266000,0.16438000,0.14521000,0.15810000,2331463789.09999990,2331463789.09999990
2021-11-04,0.13725000,0.15352000,0.13537000,0.15264000,0.13725000,0.15352000,0.13537000,0.15264000,1832737770.40000010,1832737770.40000010
2021-11-03,0.14013000,0.14107000,0.13201000,0.13722000,0.14013000,0.14107000,0.13201000,0.13722000,883031201.50000000,883031201.50000000
2021-11-02,0.13661000,0.14300000,0.13332000,0.14015000,0.13661000,0.14300000,0.13332000,0.14015000,881909025.10000002,881909025.10000002
2021-11-01,0.13310000,0.13785000,0.12750000,0.13658000,0.13310000,0.13785000,0.12750000,0.13658000,821528423.79999995,821528423.79999995
2021-10-31,0.13058000,0.13559000,0.12600000,0.13311000,0.13058000,0.13559000,0.12600000,0.13311000,702179993.60000002,702179993.60000002
2021-10-30,0.13747000,0.13866000,0.12699000,0.13058000,0.13747000,0.13866000,0.12699000,0.13058000,670562848.39999998,670562848.39999998
2021-10-29,0.13014000,0.14000000,0.12923000,0.13746000,0.13014000,0.14000000,0.12923000,0.13746000,768804432.10000002,768804432.10000002
2021-10-28,0.12421000,0.13390000,0.12325000,0.13007000,0.12421000,0.13390000,0.12325000,0.13007000,1151515825.40000010,1151515825.40000010
2021-10-27,0.14027000,0.14328000,0.11692000,0.12415000,0.14027000,0.14328000,0.11692000,0.12415000,1584863168.59999990,1584863168.59999990
2021-10-26,0.14251000,0.14785000,0.13900000,0.14029000,0.14251000,0.14785000,0.13900000,0.14029000,986800373.39999998,986800373.39999998
2021-10-25,0.13241000,0.14334000,0.13123000,0.14248000,0.13241000,0.14334000,0.13123000,0.14248000,892115979.70000005,892115979.70000005
2021-10-24,0.13597000,0.13944000,0.12845000,0.13237000,0.13597000,0.13944000,0.12845000,0.13237000,797875175.50000000,797875175.50000000
2021-10-23,0.13015000,0.13860000,0.12866000,0.13596000,0.13015000,0.13860000,0.12866000,0.13596000,854522534.39999998,854522534.39999998
2021-10-22,0.12960000,0.13700000,0.12646000,0.13015000,0.12960000,0.13700000,0.12646000,0.13015000,1082557721.20000005,1082557721.20000005
2021-10-21,0.12223000,0.13603000,0.12188000,0.12953000,0.12223000,0.13603000,0.12188000,0.12953000,1873058055.00000000,1873058055.00000000
2021-10-20,0.11611000,0.12307000,0.11509000,0.12223000,0.11611000,0.12307000,0.11509000,0.12223000,679513468.29999995,679513468.29999995
2021-10-19,0.11850000,0.11941000,0.11466000,0.11608000,0.11850000,0.11941000,0.11466000,0.11608000,555759490.89999998,555759490.89999998
2021-10-18,0.12222000,0.12383000,0.11680000,0.11844000,0.12222000,0.12383000,0.11680000,0.11844000,697328889.89999998,697328889.89999998
2021-10-17,0.11989000,0.12777000,0.11623000,0.12223000,0.11989000,0.12777000,0.11623000,0.12223000,1257324801.59999990,1257324801.59999990
2021-10-16,0.11985000,0.12452000,0.11841000,0.11990000,0.11985000,0.12452000,0.11841000,0.11990000,654896552.79999995,654896552.79999995
2021-10-15,0.11918000,0.12520000,0.11222000,0.11987000,0.11918000,0.12520000,0.11222000,0.11987000,1331142722.59999990,1331142722.59999990
2021-10-14,0.11553000,0.12300000,0.11552000,0.11916000,0.11553000,0.12300000,0.11552000,0.11916000,1124809167.79999995,1124809167.79999995
2021-10-13,0.10671000,0.11647000,0.10453000,0.11553000,0.10671000,0.11647000,0.10453000,0.11553000,1193867433.79999995,1193867433.79999995
2021-10-12,0.10911000,0.10916000,0.10057000,0.10675000,0.10911000,0.10916000,0.10057000,0.10675000,890416526.79999995,890416526.79999995
2021-10-11,0.11026000,0.11537000,0.10639000,0.10911000,0.11026000,0.11537000,0.10639000,0.10911000,628407085.29999995,628407085.29999995
2021-10-10,0.11897000,0.11929000,0.10976000,0.11031000,0.11897000,0.11929000,0.10976000,0.11031000,571058896.00000000,571058896.00000000
2021-10-09,0.11157000,0.12311000,0.10951000,0.11892000,0.11157000,0.12311000,0.10951000,0.11892000,1012231002.89999998,1012231002.89999998
2021-10-08,0.11172000,0.11541000,0.11052000,0.11152000,0.11172000,0.11541000,0.11052000,0.11152000,592834510.89999998,592834510.89999998
2021-10-07,0.11228000,0.11789000,0.10912000,0.11169000,0.11228000,0.11789000,0.10912000,0.11169000,892109485.70000005,892109485.70000005
2021-10-06,0.11345000,0.11497000,0.10514000,0.11231000,0.11345000,0.11497000,0.10514000,0.11231000,941453507.79999995,941453507.79999995
2021-10-05,0.10944000,0.11600000,0.10853000,0.11342000,0.10944000,0.11600000,0.10853000,0.11342000,855595237.00000000,855595237.00000000
2021-10-04,0.11042000,0.11292000,0.10406000,0.10939000,0.11042000,0.11292000,0.10406000,0.10939000,1044351376.20000005,1044351376.20000005
2021-10-03,0.11134000,0.11460000,0.10814000,0.11042000,0.11134000,0.11460000,0.10814000,0.11042000,863059480.20000005,863059480.20000005
2021-10-02,0.10825000,0.11666000,0.10596000,0.11131000,0.10825000,0.11666000,0.10596000,0.11131000,997348499.60000002,997348499.60000002
2021-10-01,0.09600000,0.11146000,0.09510000,0.10825000,0.09600000,0.11146000,0.09510000,0.10825000,1912290556.59999990,1912290556.59999990
2021-09-30,0.08466000,0.09600000,0.08426000,0.09598000,0.08466000,0.09600000,0.08426000,0.09598000,1011138225.20000005,1011138225.20000005
2021-09-29,0.08173000,0.08762000,0.08157000,0.08468000,0.08173000,0.08762000,0.08157000,0.08468000,638812653.50000000,638812653.50000000
2021-09-28,0.08634000,0.08871000,0.08161000,0.08173000,0.08634000,0.08871000,0.08161000,0.08173000,717372260.20000005,717372260.20000005
2021-09-27,0.09146000,0.09426000,0.08628000,0.08634000,0.09146000,0.09426000,0.08628000,0.08634000,635697107.10000002,635697107.10000002
2021-09-26,0.08995000,0.09326000,0.08405000,0.09149000,0.08995000,0.09326000,0.08405000,0.09149000,794105906.10000002,794105906.10000002
2021-09-25,0.09229000,0.09400000,0.08860000,0.08994000,0.09229000,0.09400000,0.08860000,0.08994000,708967337.60000002,708967337.60000002
2021-09-24,0.10203000,0.10314000,0.08776000,0.09229000,0.10203000,0.10314000,0.08776000,0.09229000,1326106456.40000010,1326106456.40000010
2021-09-23,0.09950000,0.10324000,0.09719000,0.10202000,0.09950000,0.10324000,0.09719000,0.10202000,949473163.70000005,949473163.70000005
2021-09-22,0.08609000,0.09960000,0.08483000,0.09956000,0.08609000,0.09960000,0.08483000,0.09956000,1136637522.50000000,1136637522.50000000
